Iter-0; D_loss: 1.3335556983947754; G_loss: 2.6655638217926025
Iter-1000; D_loss: 0.019683655351400375; G_loss: 6.971163749694824
Iter-2000; D_loss: 0.09872785210609436; G_loss: 4.591682434082031
Iter-3000; D_loss: 0.10483124107122421; G_loss: 5.043213844299316
Iter-4000; D_loss: 0.26085948944091797; G_loss: 5.312649250030518
Iter-5000; D_loss: 0.462890625; G_loss: 4.222883224487305
Iter-6000; D_loss: 0.32831239700317383; G_loss: 4.467218399047852
Iter-7000; D_loss: 0.40722623467445374; G_loss: 4.239313125610352
Iter-8000; D_loss: 0.8056570291519165; G_loss: 2.3822708129882812
Iter-9000; D_loss: 0.6404900550842285; G_loss: 2.165583372116089
Iter-10000; D_loss: 0.5637179017066956; G_loss: 2.9227700233459473
Iter-11000; D_loss: 0.7534534931182861; G_loss: 2.3568708896636963
Iter-12000; D_loss: 0.8027143478393555; G_loss: 2.880864381790161
Iter-13000; D_loss: 0.5254275798797607; G_loss: 2.8034348487854004
Iter-14000; D_loss: 0.6211991906166077; G_loss: 2.929258108139038
Iter-15000; D_loss: 0.9747905135154724; G_loss: 1.945027232170105
Iter-16000; D_loss: 1.0736955404281616; G_loss: 1.9990216493606567
Iter-17000; D_loss: 0.635599672794342; G_loss: 1.80478835105896
Iter-18000; D_loss: 0.884966254234314; G_loss: 2.1177945137023926
Iter-19000; D_loss: 0.8297736048698425; G_loss: 2.7256579399108887
Iter-20000; D_loss: 0.7831811904907227; G_loss: 2.0493416786193848
Iter-21000; D_loss: 0.6318215131759644; G_loss: 2.3451485633850098
Iter-22000; D_loss: 0.8514878749847412; G_loss: 2.15423321723938
Iter-23000; D_loss: 0.7069553136825562; G_loss: 1.760399341583252
Iter-24000; D_loss: 0.8168609142303467; G_loss: 2.1057162284851074
Iter-25000; D_loss: 0.7040412425994873; G_loss: 1.929519772529602
Iter-26000; D_loss: 0.5630688667297363; G_loss: 2.0695698261260986
Iter-27000; D_loss: 0.8250458240509033; G_loss: 1.972896695137024
Iter-28000; D_loss: 1.081052541732788; G_loss: 1.9801671504974365
Iter-29000; D_loss: 0.6164337992668152; G_loss: 2.2007298469543457
Iter-30000; D_loss: 0.7242478132247925; G_loss: 1.9848415851593018
Iter-31000; D_loss: 0.7688196301460266; G_loss: 1.7532546520233154
Iter-32000; D_loss: 0.6882002353668213; G_loss: 2.039698839187622
Iter-33000; D_loss: 0.5643269419670105; G_loss: 2.3894736766815186
Iter-34000; D_loss: 0.6778839826583862; G_loss: 2.5356602668762207
Iter-35000; D_loss: 0.773087739944458; G_loss: 2.000657320022583
Iter-36000; D_loss: 0.8412290811538696; G_loss: 2.171274185180664
Iter-37000; D_loss: 0.7580023407936096; G_loss: 2.229414224624634
Iter-38000; D_loss: 0.7410280704498291; G_loss: 1.7974905967712402
Iter-39000; D_loss: 0.5780510902404785; G_loss: 2.0821266174316406
Iter-40000; D_loss: 0.7860815525054932; G_loss: 2.1890883445739746
Iter-41000; D_loss: 0.780539870262146; G_loss: 2.8425731658935547
Iter-42000; D_loss: 0.5576193332672119; G_loss: 2.717928886413574
Iter-43000; D_loss: 0.6835881471633911; G_loss: 2.424253463745117
Iter-44000; D_loss: 1.0596247911453247; G_loss: 2.1931023597717285
Iter-45000; D_loss: 0.6588003635406494; G_loss: 1.8946921825408936
Iter-46000; D_loss: 0.8197576999664307; G_loss: 2.001901626586914
Iter-47000; D_loss: 0.6649502515792847; G_loss: 2.5828723907470703
Iter-48000; D_loss: 0.6456606388092041; G_loss: 2.0258350372314453
Iter-49000; D_loss: 0.8301213979721069; G_loss: 2.2534570693969727
Iter-50000; D_loss: 0.5408363342285156; G_loss: 2.3780717849731445
Iter-51000; D_loss: 0.7022625207901001; G_loss: 1.9804645776748657
Iter-52000; D_loss: 0.647478461265564; G_loss: 2.2888615131378174
Iter-53000; D_loss: 0.5082335472106934; G_loss: 2.2320382595062256
Iter-54000; D_loss: 0.7508063316345215; G_loss: 2.022552251815796
Iter-55000; D_loss: 0.5128878951072693; G_loss: 2.4295759201049805
Iter-56000; D_loss: 0.7268768548965454; G_loss: 1.8549820184707642
Iter-57000; D_loss: 0.6721051335334778; G_loss: 2.3694443702697754
