Iter-1000; D_loss: 0.005230233538895845; G_loss: 9.37421703338623
Iter-2000; D_loss: 0.0023500982206314802; G_loss: 9.223118782043457
Iter-3000; D_loss: 0.003469302086159587; G_loss: 7.805456161499023
Iter-4000; D_loss: 0.061882272362709045; G_loss: 7.422289848327637
Iter-5000; D_loss: 0.012466962449252605; G_loss: 7.6101579666137695
Iter-6000; D_loss: 0.11315374821424484; G_loss: 6.37651252746582
Iter-7000; D_loss: 0.21484100818634033; G_loss: 5.160472393035889
Iter-8000; D_loss: 0.6357670426368713; G_loss: 3.8582825660705566
Iter-9000; D_loss: 0.48282623291015625; G_loss: 2.5292446613311768
Iter-10000; D_loss: 0.5062187910079956; G_loss: 2.790982484817505
Iter-11000; D_loss: 0.6166079640388489; G_loss: 3.2461071014404297
Iter-12000; D_loss: 0.6203387975692749; G_loss: 2.5189599990844727
Iter-13000; D_loss: 0.6036738753318787; G_loss: 2.454843521118164
Iter-14000; D_loss: 0.8031537532806396; G_loss: 2.4222233295440674
Iter-15000; D_loss: 0.8658512234687805; G_loss: 2.090456485748291
Iter-16000; D_loss: 0.6727355122566223; G_loss: 2.3101742267608643
Iter-17000; D_loss: 0.6908416748046875; G_loss: 1.884468674659729
Iter-18000; D_loss: 0.8103282451629639; G_loss: 1.8087660074234009
Iter-19000; D_loss: 0.7383904457092285; G_loss: 1.7350746393203735
​
